Emailing (geklickt);Emailing (geöffnet);SAP GP Nummer
1;1;16234389
0;0;16695930
0;1;16696145
0;1;16234789
0;0;16234954
0;1;16699263
0;0;16699418
0;0;16701170
0;1;16702076
0;0;16702734
0;1;16703107
0;1;16703167
0;0;16235388
1;1;16235424
0;1;16704087
0;1;16704889
0;0;16705225
0;1;16705295
0;0;18571237
0;1;16163319
1;1;16163336
0;1;18571751
0;1;16374633
0;1;18617168
0;0;16377065
0;1;16377449
0;1;16377618
0;0;16377838
0;0;16378201
0;0;16378402
0;1;16248404
0;0;16243611
0;1;16248778
0;0;16378959
0;0;16163987
0;0;16164165
1;1;17054650
0;1;17054789
0;1;17362032
0;1;16715001
0;1;17056782
1;1;17058223
1;1;16439726
0;0;16440364
1;1;17058560
0;0;17059804
0;1;17400172
0;1;16716841
0;1;16716923
0;0;16717009
0;1;16717243
0;0;16440954
0;0;16441261
0;0;16441690
0;1;17063883
0;1;16717950
0;1;16718425
0;0;16442801
0;0;16663490
0;0;16664162
0;0;16664839
0;0;16665693
0;0;16665747
1;1;17352402
0;1;16667310
0;1;16667546
0;1;16067563
1;1;16067588
0;0;17348686
0;0;17349066
0;1;17349913
0;1;17351477
0;1;17353071
1;1;17646994
0;1;17647047
0;1;17647390
0;1;16159766
0;0;16160390
0;0;18085260
0;1;17824857
0;1;17247706
0;1;17825048
0;1;17825069
0;0;17251025
0;0;17649922
0;0;17650136
1;1;17651584
1;1;17825429
0;1;16161123
1;1;16248100
0;0;16456843
0;1;16457077
0;0;16457892
0;0;16677943
0;0;16678469
0;0;16679087
0;1;16248758
0;1;16679871
0;1;16680977
0;0;16680998
0;1;16457976
0;1;16457995
1;1;16458375
0;0;16458474
0;0;16458495
1;1;16458529
0;1;16483278
0;1;16682028
0;0;18476782
0;1;16249295
0;1;16684057
0;0;16484612
0;0;16484980
0;0;16458843
0;1;16459019
0;1;18490058
0;1;18239929
0;1;18491254
0;1;16486759
0;1;18240553
0;1;18492111
0;0;18492855
0;1;18241203
0;1;18241270
1;1;18495480
0;1;18243102
1;1;18505578
0;1;18507082
1;1;17000772
0;0;17641943
0;0;17003465
0;0;17003757
0;0;17004340
0;1;17644144
0;1;17007492
0;0;17007907
0;0;17647012
0;1;17008120
0;0;17648707
0;1;17651250
0;1;18274060
0;0;18137654
0;1;16226419
1;1;18137973
